"pattern","mech","N","tr_MA","tr_MB","tr_MC","tr_MD","spread_D_minus_C"
"non_monotone","MAR",200,2.91541750885695,4.54207478242491,4.00215376416117,6.83924106924754,2.83708730508637
"non_monotone","MAR",500,2.93942096920527,4.56920612062776,4.03557254090549,6.8860558574073,2.85048331650182
"non_monotone","MAR",1000,2.93905062085211,4.57822461190713,4.03463215779903,6.89404490623227,2.85941274843323
"non_monotone","MNAR",200,2.95582449398245,4.61160066962398,4.05954767563502,6.94381523566885,2.88426756003383
"non_monotone","MNAR",500,2.92373802158742,4.54790076369239,4.01344410226602,6.85138876633762,2.8379446640716
"non_monotone","MNAR",1000,2.91407227200778,4.53388658584789,3.99935458262326,6.82837806125245,2.82902347862919
"monotone","MAR",200,2.52591925988409,3.41864899768353,3.36286090222243,5.19944111519309,1.83658021297066
"monotone","MAR",500,2.54593205159846,3.44046693676592,3.38601576827515,5.22811588698134,1.84210011870619
"monotone","MAR",1000,2.60009495645145,3.51529452345491,3.4596010187568,5.34367411138198,1.88407309262517
"monotone","MNAR",200,2.55112082076084,3.44682833275363,3.39560006900313,5.24334543909267,1.84774537008954
"monotone","MNAR",500,2.56361734468273,3.46430650592648,3.4088042156579,5.26269572474819,1.85389150909029
"monotone","MNAR",1000,2.58241479859988,3.49095133182575,3.4350427923141,5.3049828785788,1.8699400862647
