"cell_id","pattern","mech","N","engine","M","empri_frac","prop","elapsed_sec","n_ok","n_err","pi_oracle","pi_uncorrected","pi_corrected","pi_SB","W3A_corr_minus_uncorr","W3B_oracle_minus_corr","W3C_high_RIV_frac","W3C_n_miscl"
"fiml_non_monotone_MAR_N200","non_monotone","MAR",200,"fiml",NA,0,0.4,92.9224829673767,2000,0,0.9065,0.6505,0.7975,0.809,0.147,0.109,1,699
"amelia_non_monotone_MAR_N200_M20_cong","non_monotone","MAR",200,"amelia",20,0,0.4,105.109495162964,2000,0,0.9065,0.651,0.795,0.8055,0.144,0.1115,1,698
"amelia_non_monotone_MAR_N200_M20_uncong","non_monotone","MAR",200,"amelia",20,0.5,0.4,102.874766111374,2000,0,0.9065,0.9315,0.979,0.983,0.0475,-0.0725,1,137
"amelia_non_monotone_MAR_N200_M200_cong","non_monotone","MAR",200,"amelia",200,0,0.4,199.036946058273,2000,0,0.9065,0.6485,0.796,0.809,0.1475,0.1105,1,703
"amelia_non_monotone_MAR_N200_M200_uncong","non_monotone","MAR",200,"amelia",200,0.5,0.4,189.584367036819,2000,0,0.9065,0.9355,0.982,0.9845,0.0465,-0.0755,1,129
"fiml_non_monotone_MAR_N500","non_monotone","MAR",500,"fiml",NA,0,0.4,87.6162858009338,2000,0,0.898,0.674,0.813,0.823,0.139,0.0850000000000001,1,652
"amelia_non_monotone_MAR_N500_M20_cong","non_monotone","MAR",500,"amelia",20,0,0.4,98.3184759616852,2000,0,0.898,0.667,0.8095,0.817,0.1425,0.0885,1,666
"amelia_non_monotone_MAR_N500_M20_uncong","non_monotone","MAR",500,"amelia",20,0.5,0.4,101.328027009964,2000,0,0.898,0.9285,0.9765,0.9795,0.048,-0.0785,1,143
"amelia_non_monotone_MAR_N500_M200_cong","non_monotone","MAR",500,"amelia",200,0,0.4,234.629024982452,2000,0,0.898,0.6685,0.811,0.823,0.1425,0.087,1,663
"amelia_non_monotone_MAR_N500_M200_uncong","non_monotone","MAR",500,"amelia",200,0.5,0.4,236.739979982376,2000,0,0.898,0.9355,0.98,0.981,0.0445,-0.082,1,129
"fiml_non_monotone_MAR_N1000","non_monotone","MAR",1000,"fiml",NA,0,0.4,93.2665131092072,2000,0,0.899,0.665,0.8075,0.8145,0.1425,0.0915,1,670
"amelia_non_monotone_MAR_N1000_M20_cong","non_monotone","MAR",1000,"amelia",20,0,0.4,111.542757034302,2000,0,0.899,0.6705,0.803,0.8115,0.1325,0.096,1,659
"amelia_non_monotone_MAR_N1000_M20_uncong","non_monotone","MAR",1000,"amelia",20,0.5,0.4,111.134914875031,2000,0,0.899,0.9185,0.9705,0.9745,0.052,-0.0715,1,163
"amelia_non_monotone_MAR_N1000_M200_cong","non_monotone","MAR",1000,"amelia",200,0,0.4,353.222173929214,2000,0,0.899,0.672,0.802,0.8135,0.13,0.097,1,656
"amelia_non_monotone_MAR_N1000_M200_uncong","non_monotone","MAR",1000,"amelia",200,0.5,0.4,347.828699111938,2000,0,0.899,0.926,0.9775,0.9795,0.0515,-0.0785,1,148
"fiml_non_monotone_MNAR_N200","non_monotone","MNAR",200,"fiml",NA,0,0.4,82.9248938560486,2000,0,0.9065,0.614,0.764,0.778,0.15,0.1425,1,772
"amelia_non_monotone_MNAR_N200_M20_cong","non_monotone","MNAR",200,"amelia",20,0,0.4,92.1935589313507,2000,0,0.9065,0.617,0.7635,0.7765,0.1465,0.143,1,766
"amelia_non_monotone_MNAR_N200_M20_uncong","non_monotone","MNAR",200,"amelia",20,0.5,0.4,90.75297498703,2000,0,0.9065,0.9265,0.9765,0.981,0.05,-0.0700000000000001,1,147
"amelia_non_monotone_MNAR_N200_M200_cong","non_monotone","MNAR",200,"amelia",200,0,0.4,173.831692934036,2000,0,0.9065,0.617,0.764,0.7745,0.147,0.1425,1,766
"amelia_non_monotone_MNAR_N200_M200_uncong","non_monotone","MNAR",200,"amelia",200,0.5,0.4,171.39081287384,2000,0,0.9065,0.928,0.98,0.983,0.0519999999999999,-0.0735,1,144
"fiml_non_monotone_MNAR_N500","non_monotone","MNAR",500,"fiml",NA,0,0.4,84.2448451519012,2000,0,0.898,0.5715,0.7275,0.74,0.156,0.1705,1,857
"amelia_non_monotone_MNAR_N500_M20_cong","non_monotone","MNAR",500,"amelia",20,0,0.4,94.8824710845947,2000,0,0.898,0.5775,0.728,0.738,0.1505,0.17,1,845
"amelia_non_monotone_MNAR_N500_M20_uncong","non_monotone","MNAR",500,"amelia",20,0.5,0.4,94.5399038791656,2000,0,0.898,0.8965,0.966,0.9705,0.0695,-0.0679999999999999,1,207
"amelia_non_monotone_MNAR_N500_M200_cong","non_monotone","MNAR",500,"amelia",200,0,0.4,228.017314910889,2000,0,0.898,0.571,0.7275,0.7395,0.1565,0.1705,1,858
"amelia_non_monotone_MNAR_N500_M200_uncong","non_monotone","MNAR",500,"amelia",200,0.5,0.4,228.508000850677,2000,0,0.898,0.9055,0.9725,0.979,0.0670000000000001,-0.0745,1,189
"fiml_non_monotone_MNAR_N1000","non_monotone","MNAR",1000,"fiml",NA,0,0.4,92.54065990448,2000,0,0.899,0.516,0.6675,0.68,0.1515,0.2315,1,968
"amelia_non_monotone_MNAR_N1000_M20_cong","non_monotone","MNAR",1000,"amelia",20,0,0.4,107.854007005692,2000,0,0.899,0.513,0.6585,0.674,0.1455,0.2405,1,974
"amelia_non_monotone_MNAR_N1000_M20_uncong","non_monotone","MNAR",1000,"amelia",20,0.5,0.4,107.942716121674,2000,0,0.899,0.862,0.9435,0.95,0.0815,-0.0445,1,276
"amelia_non_monotone_MNAR_N1000_M200_cong","non_monotone","MNAR",1000,"amelia",200,0,0.4,339.153782129288,2000,0,0.899,0.5145,0.6645,0.682,0.15,0.2345,1,971
"amelia_non_monotone_MNAR_N1000_M200_uncong","non_monotone","MNAR",1000,"amelia",200,0.5,0.4,342.406712055206,2000,0,0.899,0.874,0.9495,0.9565,0.0755,-0.0505,1,252
"fiml_monotone_MAR_N200","monotone","MAR",200,"fiml",NA,0,0.4,81.2642681598663,2000,0,0.9065,0.7125,0.824,0.826,0.1115,0.0825,1,575
"amelia_monotone_MAR_N200_M20_cong","monotone","MAR",200,"amelia",20,0,0.4,87.8346171379089,2000,0,0.9065,0.719,0.814,0.8185,0.095,0.0925,1,562
"amelia_monotone_MAR_N200_M20_uncong","monotone","MAR",200,"amelia",20,0.5,0.4,88.0062930583954,2000,0,0.9065,0.911,0.9565,0.9565,0.0455,-0.05,1,178
"amelia_monotone_MAR_N200_M200_cong","monotone","MAR",200,"amelia",200,0,0.4,167.865645885468,2000,0,0.9065,0.717,0.821,0.8215,0.104,0.0855,1,566
"amelia_monotone_MAR_N200_M200_uncong","monotone","MAR",200,"amelia",200,0.5,0.4,167.874289989471,2000,0,0.9065,0.913,0.956,0.9565,0.0429999999999999,-0.0495,1,174
"fiml_monotone_MAR_N500","monotone","MAR",500,"fiml",NA,0,0.4,84.2534630298615,2000,0,0.898,0.7415,0.8305,0.833,0.089,0.0675,1,517
"amelia_monotone_MAR_N500_M20_cong","monotone","MAR",500,"amelia",20,0,0.4,94.5587630271912,2000,0,0.898,0.7405,0.829,0.8305,0.0884999999999999,0.0690000000000001,1,519
"amelia_monotone_MAR_N500_M20_uncong","monotone","MAR",500,"amelia",20,0.5,0.4,93.6452810764313,2000,0,0.898,0.9015,0.9445,0.946,0.043,-0.0465,1,197
"amelia_monotone_MAR_N500_M200_cong","monotone","MAR",500,"amelia",200,0,0.4,228.092370033264,2000,0,0.898,0.7365,0.8285,0.8305,0.092,0.0695,1,527
"amelia_monotone_MAR_N500_M200_uncong","monotone","MAR",500,"amelia",200,0.5,0.4,228.222909927368,2000,0,0.898,0.9035,0.9485,0.9495,0.045,-0.0505,1,193
"fiml_monotone_MAR_N1000","monotone","MAR",1000,"fiml",NA,0,0.4,90.2732501029968,2000,0,0.899,0.725,0.813,0.8145,0.088,0.0860000000000001,1,550
"amelia_monotone_MAR_N1000_M20_cong","monotone","MAR",1000,"amelia",20,0,0.4,107.091034889221,2000,0,0.899,0.7165,0.8135,0.8165,0.097,0.0855,1,567
"amelia_monotone_MAR_N1000_M20_uncong","monotone","MAR",1000,"amelia",20,0.5,0.4,105.688897848129,2000,0,0.899,0.8965,0.9425,0.9445,0.046,-0.0435,1,207
"amelia_monotone_MAR_N1000_M200_cong","monotone","MAR",1000,"amelia",200,0,0.4,340.509008169174,2000,0,0.899,0.7175,0.813,0.816,0.0954999999999999,0.0860000000000001,1,565
"amelia_monotone_MAR_N1000_M200_uncong","monotone","MAR",1000,"amelia",200,0.5,0.4,340.189857959747,2000,0,0.899,0.8985,0.9485,0.9495,0.05,-0.0495,1,203
"fiml_monotone_MNAR_N200","monotone","MNAR",200,"fiml",NA,0,0.4,80.0354959964752,2000,0,0.9065,0.695,0.7965,0.7995,0.1015,0.11,1,610
"amelia_monotone_MNAR_N200_M20_cong","monotone","MNAR",200,"amelia",20,0,0.4,87.2339110374451,2000,0,0.9065,0.6885,0.793,0.7965,0.1045,0.1135,1,623
"amelia_monotone_MNAR_N200_M20_uncong","monotone","MNAR",200,"amelia",20,0.5,0.4,87.3605570793152,2000,0,0.9065,0.8775,0.9255,0.9265,0.048,-0.019,1,245
"amelia_monotone_MNAR_N200_M200_cong","monotone","MNAR",200,"amelia",200,0,0.4,166.304151058197,2000,0,0.9065,0.6935,0.7975,0.7995,0.104,0.109,1,613
"amelia_monotone_MNAR_N200_M200_uncong","monotone","MNAR",200,"amelia",200,0.5,0.4,168.417937040329,2000,0,0.9065,0.8775,0.931,0.931,0.0535000000000001,-0.0245000000000001,1,245
"fiml_monotone_MNAR_N500","monotone","MNAR",500,"fiml",NA,0,0.4,82.6826858520508,2000,0,0.898,0.6555,0.7635,0.7675,0.108,0.1345,1,689
"amelia_monotone_MNAR_N500_M20_cong","monotone","MNAR",500,"amelia",20,0,0.4,95.0434358119965,2000,0,0.898,0.6545,0.7625,0.7655,0.108,0.1355,1,691
"amelia_monotone_MNAR_N500_M20_uncong","monotone","MNAR",500,"amelia",20,0.5,0.4,93.6213488578796,2000,0,0.898,0.8295,0.9005,0.904,0.071,-0.00249999999999995,1,341
"amelia_monotone_MNAR_N500_M200_cong","monotone","MNAR",500,"amelia",200,0,0.4,229.178838014603,2000,0,0.898,0.6535,0.7615,0.7675,0.108,0.1365,1,693
"amelia_monotone_MNAR_N500_M200_uncong","monotone","MNAR",500,"amelia",200,0.5,0.4,253.280879974365,2000,0,0.898,0.8335,0.901,0.902,0.0675,-0.003,1,333
"fiml_monotone_MNAR_N1000","monotone","MNAR",1000,"fiml",NA,0,0.4,102.985003948212,2000,0,0.899,0.559,0.6575,0.661,0.0984999999999999,0.2415,1,882
