"cell_id","pattern","mech","N","n_ok","n_err","elapsed_sec","norm_bias","rel_bias","bias_sigma_13","bias_sigma_24","rel_sigma_13","rel_sigma_24","max_abs_bias_z"
"non_monotone_MAR_N200","non_monotone","MAR",200,2000,0,17.8674829006195,0.0118066530550571,0.00568047859963812,-0.000752417401789607,-0.00277070648129274,-0.00188104350447402,-0.00692676620323185,3.04051965011518
"non_monotone_MAR_N500","non_monotone","MAR",500,2000,0,18.4955949783325,0.00538642289165188,0.00259154392205364,-0.000724677788859762,-0.000672336258646489,-0.00181169447214941,-0.00168084064661622,1.94417132537275
"non_monotone_MAR_N1000","non_monotone","MAR",1000,2000,0,19.0808389186859,0.00300852805914486,0.00144747873734319,4.06426382160152e-05,-5.13571014826297e-05,0.000101606595540038,-0.000128392753706574,1.2392935405024
"non_monotone_MNAR_N200","non_monotone","MNAR",200,2000,0,17.9705829620361,0.233497671242845,0.112341619456006,-0.00337446039199357,-0.00834996610925443,-0.00843615097998393,-0.0208749152731361,83.1525339161734
"non_monotone_MNAR_N500","non_monotone","MNAR",500,2000,0,18.4371199607849,0.23473163960386,0.112935312760509,-0.00615731167929318,-0.00517238224630506,-0.0153932791982329,-0.0129309556157627,133.367629788114
"non_monotone_MNAR_N1000","non_monotone","MNAR",1000,2000,0,18.3799211978912,0.233757637362396,0.112466695713592,-0.00367949185865551,-0.00546509404319251,-0.00919872964663879,-0.0136627351079813,186.926636952588
"non_monotone_MNAR_targeted_N200","non_monotone","MNAR_targeted",200,2000,0,16.6320831775665,0.138505351500292,0.0666384183107478,-0.00375067449268901,-0.00762475732460516,-0.00937668623172253,-0.0190618933115129,48.5182667735231
"non_monotone_MNAR_targeted_N500","non_monotone","MNAR_targeted",500,2000,0,17.5071699619293,0.138840566677084,0.0667996987878786,-0.00572130213688665,-0.00589990389803258,-0.0143032553422166,-0.0147497597450814,78.2347820890574
"non_monotone_MNAR_targeted_N1000","non_monotone","MNAR_targeted",1000,2000,0,17.6477448940277,0.137282730348839,0.0660501844349909,-0.00452997100223851,-0.00559893219386698,-0.0113249275055963,-0.0139973304846674,109.978915556765
"monotone_MAR_N200","monotone","MAR",200,2000,0,16.5334889888763,0.0135297998261772,0.00650952797643761,-0.000878152773977847,-0.00382864790495185,-0.00219538193494462,-0.00957161976237964,3.09564542437218
"monotone_MAR_N500","monotone","MAR",500,2000,0,17.6413040161133,0.00650610298603068,0.00313025025863353,-0.00228629811410358,0.000147279400106448,-0.00571574528525895,0.00036819850026612,2.48741797304642
"monotone_MAR_N1000","monotone","MAR",1000,2000,0,17.5357599258423,0.00304098848981452,0.00146309626933081,-0.000384021073466356,-0.00121747447144477,-0.000960052683665891,-0.00304368617861192,1.78704043831054
"monotone_MNAR_N200","monotone","MNAR",200,2000,0,16.8293840885162,0.290956441343754,0.139986483110227,-0.00985452484417987,-0.0529852730411732,-0.0246363121104497,-0.132463182602933,119.857108389834
"monotone_MNAR_N500","monotone","MNAR",500,2000,0,16.8036470413208,0.292498535101039,0.14072842331513,-0.00903428448696281,-0.0513935660015245,-0.022585711217407,-0.128483915003811,189.521113651781
"monotone_MNAR_N1000","monotone","MNAR",1000,2000,0,17.9590671062469,0.288870623302399,0.138982943437179,-0.0080678747227908,-0.0517653607004651,-0.020169686806977,-0.129413401751163,263.733771378219
"monotone_MNAR_targeted_N200","monotone","MNAR_targeted",200,2000,0,17.0035450458527,0.210830353709571,0.101435801222971,-0.014687827105225,-0.0543252610524799,-0.0367195677630625,-0.1358131526312,81.1949545635766
"monotone_MNAR_targeted_N500","monotone","MNAR_targeted",500,2000,0,17.1889469623566,0.21023346780887,0.1011486243601,-0.0146025267461201,-0.0508942088343691,-0.0365063168653001,-0.127235522085923,131.582239445902
"monotone_MNAR_targeted_N1000","monotone","MNAR_targeted",1000,2000,0,17.9578511714935,0.208690453977988,0.100406241484581,-0.0136351023883406,-0.0516219473240501,-0.0340877559708515,-0.129054868310125,180.848054395211
