"cell_id","study","pattern","b","N","miss","tr_obs","riv_ana","rem_meas","rem_meas_mcse","rem_ana","n_ok"
"S1_b0.0_N800","S1","biv_monotone",0,800,0.34449234375,1.58331434625504,1.58331434625504,-0.0266125579264291,0.0435228965729871,-0.0018430331438389,40000
"S1_b0.2_N800","S1","biv_monotone",0.2,800,0.34743734375,1.65693292671015,1.65693292671015,-0.0506861520076042,0.0439595236162771,-0.0283095746701677,40000
"S1_b0.4_N800","S1","biv_monotone",0.4,800,0.355248,1.86667064106944,1.86667064106944,-0.0953278097281737,0.0452199396923685,-0.105253425718273,40000
"S1_b0.8_N800","S1","biv_monotone",0.8,800,0.3774166875,2.58498822431313,2.58498822431313,-0.355979780942845,0.049247990352197,-0.381344045488954,40000
"S2_non_monotone_N300","S2","non_monotone",NA,300,NA,8.42781313987599,NA,-0.0314811958925744,0.0622696627366831,NA,40000
"S2_non_monotone_N800","S2","non_monotone",NA,800,NA,8.26230534503279,NA,-0.335779903132587,0.0935458158890269,NA,40000
"S2_non_monotone_N1500","S2","non_monotone",NA,1500,NA,8.21853108792068,NA,-0.456307007110878,0.125078126788385,NA,40000
"S2_monotone_N300","S2","monotone",NA,300,NA,5.7738212436843,NA,-0.111405550419399,0.0417665999954719,NA,40000
"S2_monotone_N800","S2","monotone",NA,800,NA,5.71767101175032,NA,-0.178787248095332,0.0640869356722376,NA,40000
"S2_monotone_N1500","S2","monotone",NA,1500,NA,5.70720894123767,NA,-0.269969203083494,0.0858007899138226,NA,40000
