"cell","mech","N","R","n_ok","n_err","elapsed_sec","resid","resid_se","D_pair","d_trperp","sd_Dpair","resid_mu1","resid_mu1_se","sd_Dmu1","sd_Dnest_cs","sd_Dnest_ar","resid_nest_cs","resid_nest_ar","pCS_oracle","pCS_MIunc","pCS_MIcorr","trperp_cs","trnaive_cs","trperp_ar","trnaive_ar","rho_cs","rho_ar","ar_conv","spec_gap","lam_min","trchk"
"A","MAR",500,20000,20000,0,416.305555105209,-0.520827286108628,0.21179151816462,-0.438523228466905,0.0823040576417228,29.9343022153108,3.54985142963358,0.0609319240551836,8.61260618011411,43.7472410959931,35.7742011231771,0.978828275811893,0.540305047344988,0,3e-04,3e-04,8.03590955131989,8.76556407837722,7.95360549367816,8.73706388301109,0.35333699484462,0.499404085073402,1,2.59003111789761e-14,0.999999999999968,1.77635683940025e-15
"A","MAR",1000,20000,20000,0,459.860462903976,-0.321817298735476,0.299752737103686,-0.238460651879562,0.0833566468559137,42.3792894691315,3.45265222313279,0.0595752999219318,8.42311368858324,61.1131181690367,50.1028514014663,0.386205584256842,0.14774493237728,0,0,0,8.01037358040176,8.7356040534635,7.92701693354585,8.70642922746605,0.353693892979315,0.499560501887942,1,5.52575044236168e-15,0.999999999999988,1.77635683940025e-15
"A","MAR",2000,20000,20000,0,532.237018108368,-0.09581667513384,0.421821916335036,-0.0119002212403206,0.0839164538935193,59.6458479130974,3.43928194340687,0.060434474634434,8.54532995630389,87.359081207558,71.1142935895894,0.189430116282626,0.177529895042304,0,0,0,8.00248192970177,8.72608998663111,7.91856547580825,8.69659233774786,0.353922321915168,0.499797684659584,1,5.84512982561872e-15,0.99999999999999,2.22044604925031e-15
"B","MAR",500,20000,20000,0,422.958760976791,-0.294226566671196,0.227480442045565,-0.151937190859391,0.142289375811806,32.1542228279632,3.54995966581371,0.0623168212277916,8.81710861930077,45.7591867671813,32.3833832164982,0.650857934641185,0.498920743781795,0.4957,0.49515,0.4967,8.08276130151844,8.78221730170357,7.94047192570663,8.72898393242737,0.403926886755772,0.472913603642571,1,5.76417103674129e-15,0.999999999999965,2.22044604925031e-15
"B","MAR",1000,20000,20000,0,492.141973972321,0.105830596445824,0.321409588675401,0.248828347501813,0.142997751055989,45.4428348902779,3.46963375594341,0.0600558109578388,8.49503241146933,64.1089733102373,45.3806005751813,-0.0682480787973455,0.180580268704467,0.50305,0.49485,0.4956,8.05992834035572,8.75555556482274,7.91693058929973,8.70178062122543,0.404288056611219,0.473092094996801,1,5.49129332542308e-15,0.99999999999999,1.77635683940025e-15
"B","MAR",2000,20000,20000,0,629.343531847,0.103756294931825,0.453759364082577,0.247246930657131,0.143490635725306,64.1631120676048,3.40248917618369,0.060452905703955,8.54996594920796,91.2942817101949,64.3120953815736,0.0487848315305416,0.296031762187672,0.4997,0.4993,0.50025,8.05205337160224,8.74610444564791,7.90856273587693,8.69203772574195,0.404613791715855,0.47334863221656,1,4.88542691208277e-15,0.999999999999989,1.77635683940025e-15
"Aprime","MCAR",500,20000,20000,0,373.370634078979,-0.243241553447152,0.191384734759909,-0.159367686980036,0.0838738664671161,27.0539921530441,0.0749211699264824,0.0256455475688115,3.62733454445575,33.0241740976504,31.9629902986385,1.73855276236482,1.57918507538478,0,2e-04,2e-04,8.05170346127523,8.7822060155445,7.96782959480811,8.75306459398054,0.354349155578612,0.499976311079694,1,4.30165130572181e-14,0.999999999999946,1.77635683940025e-15
"Aprime","MCAR",1000,20000,20000,0,437.33447599411,0.271392786405121,0.267838705815908,0.355402816085299,0.0840100296801781,37.8697953057849,0.0691382517155805,0.0258362331238977,3.65380754413321,46.3787201717076,45.2186918099647,0.923420142430527,1.27882295851583,0,0,0,8.01961917133076,8.74553882705819,7.93560914165058,8.71611406310853,0.354096039965786,0.499844057258005,1,5.90129150664496e-15,0.999999999999988,1.77635683940025e-15
"Aprime","MCAR",2000,20000,20000,0,560.04586315155,-0.0524174722573254,0.376965910487582,0.0319268443234873,0.0843443165808127,53.3050711123458,0.0199689686566777,0.0253827143024184,3.59031382968891,65.3935828971996,63.9200056344067,1.07157050182761,1.10349734615109,0,0,0,8.01088830446662,8.73526342891704,7.9265439878858,8.70561586781332,0.354182219227325,0.499930188148717,1,5.6929278905618e-15,0.999999999999988,1.77635683940025e-15
"Bprime","MCAR",500,20000,20000,0,374.05726981163,-0.489710970754681,0.193721222792571,-0.345929024112981,0.1437819466417,27.3847605592174,0.079995625417884,0.0256287092644198,3.62532223097051,35.4653541106364,30.0348841600442,1.7877788864819,1.44184986236891,0.4957,0.50175,0.5032,8.10189097725518,8.80265013993991,7.95810903061348,8.74889232705408,0.40493103131723,0.47344407493776,1,8.75851987264605e-15,0.999999999999982,1.77635683940025e-15
"Bprime","MCAR",1000,20000,20000,0,439.597223043442,0.184751933581182,0.270814319900744,0.328413747348332,0.14366181376715,38.2908393017586,0.0720994776289313,0.0258056838371278,3.64953809000051,49.8586358984414,42.4173366243287,0.902378563963293,1.23079231131163,0.50305,0.49885,0.5002,8.06958593063014,8.76593352914331,7.92592411686299,8.71194097661953,0.40472598723343,0.473362362553662,1,5.16246083363422e-15,0.999999999999989,1.77635683940025e-15
"Bprime","MCAR",2000,20000,20000,0,550.946269035339,-0.260984340700035,0.381148921791052,-0.117076385718074,0.143907954981961,53.8967982208911,0.0151426254619252,0.0252415055401013,3.57024141331766,70.3416386013953,59.9094679631913,1.09835237509224,0.981275989374163,0.4997,0.5013,0.5023,8.0607665968184,8.75562817412506,7.91685864183644,8.70143724775191,0.404844343039001,0.473458203269922,1,4.58797081012076e-15,0.999999999999989,1.77635683940025e-15
